CBSA Code,Metro Division Code,Metropolitan statistical areas,Census,Estimates base,2010,2011,2012
41180,,"St. Louis, MO-IL","2,787,701","2,787,695","2,789,873","2,793,375","2,795,794"
41420,,"Salem, OR","390,738","390,738","391,637","393,822","396,338"
41500,,"Salinas, CA","415,057","415,057","416,335","421,612","426,762"
41540,,"Salisbury, MD-DE","373,802","373,802","374,756","378,155","381,868"
41620,,"Salt Lake City, UT","1,087,873","1,087,873","1,091,718","1,107,018","1,123,712"
41660,,"San Angelo, TX","111,823","111,823","112,241","113,348","114,854"
41700,,"San Antonio-New Braunfels, TX","2,142,508","2,142,508","2,153,140","2,191,670","2,234,003"
41740,,"San Diego-Carlsbad, CA","3,095,313","3,095,308","3,103,933","3,138,183","3,177,063"
41860,,"San Francisco-Oakland-Hayward, CA","4,335,391","4,335,391","4,345,156","4,396,918","4,455,560"
41860,36084,".Oakland-Hayward-Berkeley, CA","2,559,296","2,559,296","2,566,473","2,598,142","2,634,317"
41860,41884,".San Francisco-Redwood City-South San Francisco, CA","1,523,686","1,523,686","1,525,712","1,543,283","1,565,174"
41860,42034,".San Rafael, CA","252,409","252,409","252,971","255,493","256,069"
41940,,"San Jose-Sunnyvale-Santa Clara, CA","1,836,911","1,836,911","1,842,123","1,867,984","1,894,388"
42020,,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","269,637","269,637","269,954","271,345","274,804"
42100,,"Santa Cruz-Watsonville, CA","262,382","262,382","263,435","264,961","266,776"
42140,,"Santa Fe, NM","144,170","144,169","144,441","145,319","146,375"
42200,,"Santa Maria-Santa Barbara, CA","423,895","423,895","424,403","426,101","431,249"
42220,,"Santa Rosa, CA","483,878","483,878","484,801","488,082","491,829"
42340,,"Savannah, GA","347,611","347,621","348,830","355,844","361,941"
42540,,"Scranton--Wilkes-Barre--Hazleton, PA","563,631","563,630","563,597","563,939","563,629"
42660,,"Seattle-Tacoma-Bellevue, WA","3,439,809","3,439,809","3,448,919","3,497,819","3,552,157"
42660,42644,".Seattle-Bellevue-Everett, WA","2,644,584","2,644,584","2,653,391","2,694,273","2,740,476"
42660,45104,".Tacoma-Lakewood, WA","795,225","795,225","795,528","803,546","811,681"
42680,,"Sebastian-Vero Beach, FL","138,028","138,028","138,237","138,919","140,567"
42700,,"Sebring, FL","98,786","98,786","98,727","98,292","98,128"
43100,,"Sheboygan, WI","115,507","115,507","115,416","115,247","115,009"
43300,,"Sherman-Denison, TX","120,877","120,877","121,060","121,306","121,935"
43340,,"Shreveport-Bossier City, LA","439,811","439,811","441,155","444,880","447,193"
43420,,"Sierra Vista-Douglas, AZ","131,346","131,346","131,627","132,770","132,088"
43580,,"Sioux City, IA-NE-SD","168,563","168,563","168,825","168,939","168,921"
43620,,"Sioux Falls, SD","228,261","228,264","229,173","232,446","237,251"
43780,,"South Bend-Mishawaka, IN-MI","319,224","319,222","319,008","319,235","318,586"
43900,,"Spartanburg, SC","313,268","313,268","313,555","314,886","316,997"
44060,,"Spokane-Spokane Valley, WA","527,753","527,753","528,615","529,907","532,253"
44100,,"Springfield, IL","210,170","210,170","210,573","211,669","211,993"
44140,,"Springfield, MA","621,570","621,570","623,193","625,346","625,718"
44180,,"Springfield, MO","436,712","436,712","437,498","440,317","444,617"
44220,,"Springfield, OH","138,333","138,333","138,232","137,768","137,206"
44300,,"State College, PA","153,990","153,985","154,193","154,730","155,171"
44420,,"Staunton-Waynesboro, VA","118,502","118,502","118,375","118,921","118,686"
44700,,"Stockton-Lodi, CA","685,306","685,308","687,516","695,626","702,612"
44940,,"Sumter, SC","107,456","107,456","107,532","107,342","108,052"
45060,,"Syracuse, NY","662,577","662,578","662,922","662,431","660,934"
45220,,"Tallahassee, FL","367,413","368,770","369,383","371,029","375,371"
45300,,"Tampa-St. Petersburg-Clearwater, FL","2,783,243","2,783,243","2,788,833","2,826,438","2,842,878"
45460,,"Terre Haute, IN","172,425","172,423","172,358","172,576","172,493"
45500,,"Texarkana, TX-AR","149,198","149,198","149,341","149,610","149,701"
45540,,"The Villages, FL","93,420","93,420","94,268","98,237","101,620"
45780,,"Toledo, OH","610,001","610,001","609,708","609,320","608,711"
45820,,"Topeka, KS","233,870","233,868","234,263","234,720","234,566"
45940,,"Trenton, NJ","366,513","366,511","367,093","367,306","368,303"
46060,,"Tucson, AZ","980,263","980,263","981,915","987,573","992,394"
46140,,"Tulsa, OK","937,478","937,480","939,968","945,386","951,880"
46220,,"Tuscaloosa, AL","230,162","230,159","230,365","231,560","233,389"
46340,,"Tyler, TX","209,714","209,714","210,406","212,855","214,821"
46520,,"Urban Honolulu, HI","953,207","953,207","956,481","966,363","976,372"
46540,,"Utica-Rome, NY","299,397","299,397","299,339","298,767","298,064"
46660,,"Valdosta, GA","139,588","139,584","140,090","142,307","144,343"
46700,,"Vallejo-Fairfield, CA","413,344","413,344","414,095","416,932","420,757"
47020,,"Victoria, TX","94,003","94,003","94,041","94,675","96,620"
47220,,"Vineland-Bridgeton, NJ","156,898","156,898","157,053","157,215","157,785"
47260,,"Virginia Beach-Norfolk-Newport News, VA-NC","1,676,822","1,676,820","1,680,394","1,686,977","1,699,925"
47300,,"Visalia-Porterville, CA","442,179","442,179","443,218","447,918","451,977"
47380,,"Waco, TX","252,772","252,772","253,759","255,656","256,317"
47460,,"Walla Walla, WA","62,859","62,859","63,024","63,500","63,399"
47580,,"Warner Robins, GA","179,605","179,605","180,452","183,644","185,478"
47900,,"Washington-Arlington-Alexandria, DC-VA-MD-WV","5,636,232","5,636,232","5,665,604","5,771,213","5,860,342"
47900,43524,".Silver Spring-Frederick-Rockville, MD","1,205,162","1,205,162","1,210,226","1,228,954","1,244,291"
47900,47894,".Washington-Arlington-Alexandria, DC-VA-MD-WV","4,431,070","4,431,070","4,455,378","4,542,259","4,616,051"
47940,,"Waterloo-Cedar Falls, IA","167,819","167,819","167,924","168,219","168,747"
48060,,"Watertown-Fort Drum, NY","116,229","116,229","116,572","118,163","120,262"
48140,,"Wausau, WI","134,063","134,063","134,089","134,552","134,735"
48260,,"Weirton-Steubenville, WV-OH","124,454","124,454","124,231","123,322","122,547"
48300,,"Wenatchee, WA","110,884","110,887","111,270","112,048","113,037"
48540,,"Wheeling, WV-OH","147,950","147,950","147,864","147,143","146,420"
48620,,"Wichita, KS","630,919","630,919","631,975","633,344","636,105"
48660,,"Wichita Falls, TX","151,306","151,306","151,428","150,092","150,829"
48700,,"Williamsport, PA","116,111","116,108","116,159","116,678","117,168"
48900,,"Wilmington, NC","254,884","254,884","255,684","259,431","263,429"
49020,,"Winchester, VA-WV","128,472","128,472","128,718","129,905","130,907"
49180,,"Winston-Salem, NC","640,595","640,577","641,320","644,393","647,697"
49340,,"Worcester, MA-CT","916,980","916,980","918,766","921,990","923,762"
49420,,"Yakima, WA","243,231","243,231","244,258","246,157","246,977"
49620,,"York-Hanover, PA","434,972","434,972","435,586","437,040","437,846"
49660,,"Youngstown-Warren-Boardman, OH-PA","565,773","565,773","564,830","561,697","558,206"
49700,,"Yuba City, CA","166,892","166,892","167,245","167,498","167,948"
49740,,"Yuma, AZ","195,751","195,750","196,786","200,374","200,022"
